Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9598,3220000-101-2021-01263,2021-10-21,영업/정상,182.00,135-957,서울특별시 강남구 청담동 127-4,서울 강남구 압구정로79길 59,압구정제주집(狎鷗亭濟州緝) 청담점,한식,204524.780414359,447055.381658022,,,청담동,,압구정제주집,['506516122'],574798358,574798358
9599,3220000-101-2021-01265,20211021,영업/정상,83.60,135949,서울특별시 강남구 청담동 18-38 ,서울 강남구 도산대로68길 18,페코리노,패밀리레스트랑,203865.646278053,446692.843353972,,,청담동,,페코리노,,897122735,897122735
9600,3220000-101-2021-01266,2021-10-21,영업/정상,294.19,135-954,서울특별시 강남구 청담동 91-8,서울 강남구 도산대로 429,피팝,기타,203711.989637745,446865.416122718,,,청담동,,피팝,,1444443249,1444443249
9601,3220000-101-2021-01267,20211022,영업/정상,44.24,135835,서울특별시 강남구 대치동 316 은마아파트 ,서울 강남구 삼성로 212,플로르커피,기타,205707.089399978,443914.194133105,,,대치동,,플로르커피,['157635901'],812152063,812152063
9602,3220000-101-2021-01270,2021-10-22,영업/정상,149.79,135-932,서울특별시 강남구 역삼동 818-11,서울 강남구 강남대로94길 15,육전국밥 강남역점,경양식,202458.82314073,444158.743893681,,,역삼동,,육전국밥 강남역,['334576431'],1634597044,1634597044
9603,3220000-101-2021-01271,20211022,영업/정상,69.33,135864,서울특별시 강남구 삼성동 10-1 ,서울 강남구 학동로56길 33,수퍼 강남구청점,경양식,203743.345082657,445873.737675192,,,삼성동,,수퍼 강남구청,['1660047018'],2115714823,2115714823
9604,3220000-101-2021-01272,20211022,영업/정상,14.00,135924,서울특별시 강남구 역삼동 742-22 도원빌딩 ,서울 강남구 역삼로9길 28,식정2,기타,202921.517085804,443750.941620582,,,역삼동,,식정2,['1674247815'], , 
9605,3220000-101-2021-01274,20211025,영업/정상,50.00,135917,서울특별시 강남구 역삼동 697-45 ,서울 강남구 선릉로93길 22,오륜정,한식,204061.414990609,444757.531873365,,,역삼동,,오륜정,['42045502'], , 
9606,3220000-101-2021-01275,20211025,영업/정상,225.91,135915,서울특별시 강남구 역삼동 678-4 효빌딩 ,서울 강남구 논현로94길 30,에이,호프/통닭,203359.25133546,444515.467926026,,,역삼동,,에이,['1906428686'], , 
9607,3220000-101-2021-01278,20211026,영업/정상,271.10,135764,서울특별시 강남구 청담동 22-13 청담빌딩 ,서울 강남구 도산대로58길 16,깐부치킨 청담점,호프/통닭,203577.618585141,446668.364448735,,,청담동,,깐부치킨 청담,['1430107034'],220544074,220544074
9608,3220000-101-2021-01279,20211026,영업/정상,310.71,135915,서울특별시 강남구 역삼동 676 센터필드 ,서울 강남구 테헤란로 231,알렌 컨티뉴엄,"외국음식전문점(인도,태국등)",203599.062771687,444556.062267296,,,역삼동,,알렌 컨티뉴엄,,302203396,302203396
9609,3220000-101-2021-01282,2021-10-27,영업/정상,334.78,135-897,서울특별시 강남구 신사동 651-19,서울 강남구 도산대로49길 9,센트레(centre),경양식,203209.020353555,446789.583905333,,,신사동,,센트레,,506516122,506516122
9610,3220000-101-2021-01283,20211027,영업/정상,17.10,135902,서울특별시 강남구 압구정동 494 갤러리아백화점 ,서울 강남구 압구정로 343,떡산 압구정 갤러리아점,분식,203470.848439305,447369.579851952,,,압구정동,,떡산 압구정 갤러리아,, , 
9611,3220000-101-2021-01284,20211027,영업/정상,90.00,135821,서울특별시 강남구 논현동 110-25,서울 강남구 학동로53길 19,레이블(Rable),분식,203447.701197107,446236.993955194,,,논현동,,레이블,, , 
